Wavenumber,Intensity,Wavenumber,Intensity
cm⁻¹,a.u.,,
,As Deposited,,UV
734.2758,0.32927,633.99012,0.96445
734.7579,0.325,634.47225,0.97452
735.24,0.3204,634.95437,0.98321
735.7222,0.31563,635.4365,0.99004
736.2042,0.31084,635.91862,0.99498
736.6864,0.30614,636.40075,0.99821
737.1685,0.30154,636.883,0.99988
737.6506,0.29699,637.36512,1
738.1328,0.2925,637.84725,0.99854
738.6149,0.28811,638.32937,0.99562
739.097,0.28396,638.8115,0.99158
739.5791,0.28021,639.29362,0.98699
740.0613,0.27693,639.77575,0.98244
740.5434,0.27408,640.258,0.97833
741.0255,0.27149,640.74012,0.97477
741.5076,0.269,641.22225,0.9716
741.9897,0.2665,641.70437,0.96849
742.4719,0.26401,642.1865,0.96521
742.954,0.26169,642.66862,0.96164
743.4362,0.25968,643.15075,0.95782
743.9182,0.25806,643.632,0.95383
744.4004,0.25673,644.11412,0.94967
744.8825,0.25547,644.59625,0.94523
745.3646,0.25396,645.07837,0.94046
745.8467,0.25197,645.5605,0.93536
746.3289,0.24943,646.04262,0.93021
746.811,0.24645,646.52475,0.9254
747.2931,0.24325,647.007,0.92133
747.7753,0.24001,647.48912,0.91814
748.2574,0.23682,647.97125,0.91563
748.7395,0.23364,648.45337,0.91328
749.2216,0.23036,648.9355,0.91051
749.7037,0.22689,649.41762,0.90691
750.1859,0.22329,649.89975,0.90247
750.668,0.21969,650.382,0.89754
751.1501,0.2163,650.86412,0.89267
751.6322,0.21326,651.34625,0.88827
752.1144,0.21053,651.82837,0.88443
752.5965,0.20792,652.3105,0.88087
753.0786,0.20515,652.79262,0.87711
753.5608,0.20197,653.27475,0.87276
754.0428,0.19827,653.757,0.86771
754.525,0.19415,654.23912,0.86219
755.0071,0.18981,654.72125,0.8566
755.4893,0.18553,655.20337,0.8513
755.9714,0.18147,655.6855,0.84642
756.4535,0.17769,656.16762,0.84181
756.9356,0.17414,656.64975,0.83722
757.4177,0.17077,657.132,0.83252
757.8999,0.16755,657.61412,0.82783
758.382,0.16458,658.09625,0.82352
758.8641,0.16197,658.57837,0.82
759.3463,0.15978,659.0605,0.81745
759.8284,0.15795,659.54262,0.81568
760.3105,0.15627,660.02475,0.81413
760.7926,0.15442,660.506,0.81216
761.2748,0.15237,660.98812,0.80932
761.7568,0.15008,661.47025,0.80563
762.239,0.14728,661.95237,0.80149
762.7211,0.14422,662.4345,0.79748
763.2032,0.14121,662.91662,0.79396
763.6854,0.1385,663.39875,0.79078
764.1675,0.13622,663.881,0.78727
764.6496,0.13431,664.36312,0.78243
765.1317,0.13263,664.84525,0.77526
765.6139,0.13103,665.32737,0.76512
766.0959,0.12939,665.8095,0.75196
766.5781,0.12769,666.29162,0.73643
767.0602,0.12597,666.77375,0.71999
767.5424,0.12427,667.256,0.70481
768.0245,0.12262,667.73812,0.69329
768.5066,0.12101,668.22025,0.68712
768.9888,0.11944,668.70237,0.68658
769.4708,0.11795,669.1845,0.69051
769.953,0.11662,669.66662,0.6971
770.4351,0.11554,670.14875,0.70458
