pixel,y_um,intensity,bg_mean,bg_std
398,4.7029,38831.5061,39705.563,15211.6848
399,4.7147,39468.2461,39705.563,15211.6848
400,4.7266,39515.7922,39705.563,15211.6848
401,4.7384,39660.7343,39705.563,15211.6848
402,4.7502,40416.6536,39705.563,15211.6848
403,4.762,40093.0473,39705.563,15211.6848
404,4.7738,40685.383,39705.563,15211.6848
405,4.7856,41008.1516,39705.563,15211.6848
406,4.7975,40403.8769,39705.563,15211.6848
407,4.8093,40350.0473,39705.563,15211.6848
408,4.8211,40063.7237,39705.563,15211.6848
409,4.8329,39893.2282,39705.563,15211.6848
410,4.8447,40030.2111,39705.563,15211.6848
411,4.8565,40044.035,39705.563,15211.6848
412,4.8684,40245.9487,39705.563,15211.6848
413,4.8802,40041.3121,39705.563,15211.6848
414,4.892,39545.5346,39705.563,15211.6848
415,4.9038,40533.9478,39705.563,15211.6848
416,4.9156,40050.947,39705.563,15211.6848
417,4.9274,40702.5583,39705.563,15211.6848
418,4.9393,40798.9071,39705.563,15211.6848
419,4.9511,40737.1182,39705.563,15211.6848
420,4.9629,40805.4002,39705.563,15211.6848
421,4.9747,39924.6463,39705.563,15211.6848
422,4.9865,40289.5151,39705.563,15211.6848
423,4.9983,40631.3439,39705.563,15211.6848
424,5.0102,39807.5615,39705.563,15211.6848
425,5.022,40792.2046,39705.563,15211.6848
426,5.0338,40133.4719,39705.563,15211.6848
427,5.0456,39866.837,39705.563,15211.6848
428,5.0574,41215.9299,39705.563,15211.6848
429,5.0692,40754.5029,39705.563,15211.6848
430,5.0811,40394.0326,39705.563,15211.6848
431,5.0929,40088.8582,39705.563,15211.6848
432,5.1047,39984.969,39705.563,15211.6848
433,5.1165,41176.1337,39705.563,15211.6848
434,5.1283,39664.0856,39705.563,15211.6848
435,5.1401,40641.6072,39705.563,15211.6848
436,5.152,40030.8394,39705.563,15211.6848
437,5.1638,40533.11,39705.563,15211.6848
438,5.1756,40767.489,39705.563,15211.6848
439,5.1874,40635.533,39705.563,15211.6848
440,5.1992,41026.1646,39705.563,15211.6848
441,5.211,40894.4181,39705.563,15211.6848
442,5.2229,41938.1271,39705.563,15211.6848
443,5.2347,41018.8337,39705.563,15211.6848
444,5.2465,40818.1769,39705.563,15211.6848
445,5.2583,40457.7066,39705.563,15211.6848
446,5.2701,40090.3244,39705.563,15211.6848
447,5.2819,41148.4857,39705.563,15211.6848
448,5.2938,39878.1475,39705.563,15211.6848
449,5.3056,40462.7335,39705.563,15211.6848
450,5.3174,40346.696,39705.563,15211.6848
451,5.3292,41520.6854,39705.563,15211.6848
452,5.341,41406.1141,39705.563,15211.6848
453,5.3528,40350.6756,39705.563,15211.6848
