Name		O 1s	O 1s	O 1s				Name		C 1s	C 1s	C 1s	C 1s	C 1s				
Position		530.65	531.93	532.95				Position		284.71	289.11	290.48	285.93	287.20				
FWHM		1.88	1.88	1.88				FWHM		1.61	1.61	1.61	1.61	1.61				
Area		21507.22	34171.49	4553.06				Area		4057.69	435.18	705.72	1346.64	684.13				
Lineshape		GL(30)	GL(30)	GL(30)				Lineshape		GL(30)	GL(30)	GL(30)	GL(30)	GL(30)				

B.E.	Cycle 15:O 1s/48:CPS	O 1s/48:O 1s	O 1s/48:O 1s	O 1s/48:O 1s	Background	Envelope		B.E.	Cycle 15:C 1s/49:CPS	C 1s/49:C 1s	C 1s/49:C 1s	C 1s/49:C 1s	C 1s/49:C 1s	C 1s/49:C 1s	Background	Envelope		
5.405600e+002	1.469080e+003	1.469080e+003	1.469080e+003	1.469080e+003	1.469080e+003	1.469080e+003		2.975600e+002	7.816712e+002	7.816712e+002	7.816712e+002	7.816712e+002	7.816712e+002	7.816712e+002	7.816712e+002	7.816712e+002		
5.404600e+002	1.444947e+003	1.444947e+003	1.444947e+003	1.444947e+003	1.444947e+003	1.444947e+003		2.974600e+002	7.617764e+002	7.617764e+002	7.617764e+002	7.617764e+002	7.617764e+002	7.617764e+002	7.617764e+002	7.617764e+002		
5.403600e+002	1.423077e+003	1.423077e+003	1.423077e+003	1.423077e+003	1.423077e+003	1.423077e+003		2.973600e+002	7.637017e+002	7.637017e+002	7.637017e+002	7.637017e+002	7.637017e+002	7.637017e+002	7.637017e+002	7.637017e+002		
5.402600e+002	1.399698e+003	1.399698e+003	1.399698e+003	1.399698e+003	1.399698e+003	1.399698e+003		2.972600e+002	7.662688e+002	7.662688e+002	7.662688e+002	7.662688e+002	7.662688e+002	7.662688e+002	7.662688e+002	7.662688e+002		
5.401600e+002	1.331071e+003	1.331071e+003	1.331071e+003	1.331071e+003	1.331071e+003	1.331071e+003		2.971600e+002	7.957900e+002	7.957900e+002	7.957900e+002	7.957900e+002	7.957900e+002	7.957900e+002	7.957900e+002	7.957900e+002		
5.400600e+002	1.354449e+003	1.354449e+003	1.354449e+003	1.354449e+003	1.354449e+003	1.354449e+003		2.970600e+002	7.585676e+002	7.585676e+002	7.585676e+002	7.585676e+002	7.585676e+002	7.585676e+002	7.585676e+002	7.585676e+002		
5.399600e+002	1.322021e+003	1.322021e+003	1.322021e+003	1.322021e+003	1.322021e+003	1.322021e+003		2.969600e+002	7.322552e+002	7.322552e+002	7.322552e+002	7.322552e+002	7.322552e+002	7.322552e+002	7.322552e+002	7.322552e+002		
5.398600e+002	1.290347e+003	1.290347e+003	1.290347e+003	1.290347e+003	1.290347e+003	1.290347e+003		2.968600e+002	7.579258e+002	7.579258e+002	7.579258e+002	7.579258e+002	7.579258e+002	7.579258e+002	7.579258e+002	7.579258e+002		
5.397600e+002	1.270739e+003	1.270739e+003	1.270739e+003	1.270739e+003	1.270739e+003	1.270739e+003		2.967600e+002	7.373893e+002	7.373893e+002	7.373893e+002	7.373893e+002	7.373893e+002	7.373893e+002	7.373893e+002	7.373893e+002		
5.396600e+002	1.231523e+003	1.231523e+003	1.231523e+003	1.231523e+003	1.231523e+003	1.231523e+003		2.966600e+002	7.482993e+002	7.482993e+002	7.482993e+002	7.482993e+002	7.482993e+002	7.482993e+002	7.482993e+002	7.482993e+002		
5.395600e+002	1.237557e+003	1.237557e+003	1.237557e+003	1.237557e+003	1.237557e+003	1.237557e+003		2.965600e+002	7.617764e+002	7.617764e+002	7.617764e+002	7.617764e+002	7.617764e+002	7.617764e+002	7.617764e+002	7.617764e+002		
5.394600e+002	1.213424e+003	1.213424e+003	1.213424e+003	1.213424e+003	1.213424e+003	1.213424e+003		2.964600e+002	7.739700e+002	7.739700e+002	7.739700e+002	7.739700e+002	7.739700e+002	7.739700e+002	7.739700e+002	7.739700e+002		
5.393600e+002	1.203620e+003	1.203620e+003	1.203620e+003	1.203620e+003	1.203620e+003	1.203620e+003		2.963600e+002	7.707611e+002	7.707611e+002	7.707611e+002	7.707611e+002	7.707611e+002	7.707611e+002	7.707611e+002	7.707611e+002		
5.392600e+002	1.189291e+003	1.189291e+003	1.189291e+003	1.189291e+003	1.189291e+003	1.189291e+003		2.962600e+002	7.174945e+002	7.174945e+002	7.174945e+002	7.174945e+002	7.174945e+002	7.174945e+002	7.174945e+002	7.174945e+002		
5.391600e+002	1.128205e+003	1.128205e+003	1.128205e+003	1.128205e+003	1.128205e+003	1.128205e+003		2.961600e+002	7.797459e+002	7.797459e+002	7.797459e+002	7.797459e+002	7.797459e+002	7.797459e+002	7.797459e+002	7.797459e+002		
5.390600e+002	1.070890e+003	1.070890e+003	1.070890e+003	1.070890e+003	1.070890e+003	1.070890e+003		2.960600e+002	7.482993e+002	7.482993e+002	7.482993e+002	7.482993e+002	7.482993e+002	7.482993e+002	7.482993e+002	7.482993e+002		
5.389600e+002	1.113876e+003	1.113876e+003	1.113876e+003	1.113876e+003	1.113876e+003	1.113876e+003		2.959600e+002	7.823129e+002	7.823129e+002	7.823129e+002	7.823129e+002	7.823129e+002	7.823129e+002	7.823129e+002	7.823129e+002		
5.388600e+002	1.114630e+003	1.114630e+003	1.114630e+003	1.114630e+003	1.114630e+003	1.114630e+003		2.958600e+002	7.155692e+002	7.155692e+002	7.155692e+002	7.155692e+002	7.155692e+002	7.155692e+002	7.155692e+002	7.155692e+002		
5.387600e+002	1.131222e+003	1.131222e+003	1.131222e+003	1.131222e+003	1.131222e+003	1.131222e+003		2.957600e+002	6.943910e+002	6.943910e+002	6.943910e+002	6.943910e+002	6.943910e+002	6.943910e+002	6.943910e+002	6.943910e+002		
5.386600e+002	1.070890e+003	1.070890e+003	1.070890e+003	1.070890e+003	1.070890e+003	1.070890e+003		2.956600e+002	7.534334e+002	7.534334e+002	7.534334e+002	7.534334e+002	7.534334e+002	7.534334e+002	7.534334e+002	7.534334e+002		
5.385600e+002	1.056561e+003	1.056561e+003	1.056561e+003	1.056561e+003	1.056561e+003	1.056561e+003		2.955600e+002	7.367475e+002	7.367475e+002	7.367475e+002	7.367475e+002	7.367475e+002	7.367475e+002	7.367475e+002	7.367475e+002		
5.384600e+002	1.028658e+003	1.028658e+003	1.028658e+003	1.028658e+003	1.028658e+003	1.028658e+003		2.954600e+002	7.534334e+002	7.534334e+002	7.534334e+002	7.534335e+002	7.534334e+002	7.534334e+002	7.534334e+002	7.534335e+002		
5.383600e+002	9.668175e+002	9.668175e+002	9.668175e+002	9.668176e+002	9.668175e+002	9.668176e+002		2.953600e+002	7.720447e+002	7.720447e+002	7.720447e+002	7.720447e+002	7.720447e+002	7.720447e+002	7.720447e+002	7.720447e+002		
5.382600e+002	9.736048e+002	9.736048e+002	9.736048e+002	9.736050e+002	9.736048e+002	9.736050e+002		2.952600e+002	7.823129e+002	7.823129e+002	7.823129e+002	7.823129e+002	7.823129e+002	7.823129e+002	7.823129e+002	7.823129e+002		
5.381600e+002	9.434389e+002	9.434389e+002	9.434389e+002	9.434392e+002	9.434389e+002	9.434392e+002		2.951600e+002	7.322552e+002	7.322552e+002	7.322552e+002	7.322552e+002	7.322552e+002	7.322552e+002	7.322552e+002	7.322552e+002		
5.380600e+002	9.743590e+002	9.743590e+002	9.743590e+002	9.743594e+002	9.743590e+002	9.743594e+002		2.950600e+002	7.162110e+002	7.162110e+002	7.162110e+002	7.162110e+002	7.162110e+002	7.162110e+002	7.162110e+002	7.162110e+002		
5.379600e+002	9.954751e+002	9.954751e+002	9.954751e+002	9.954758e+002	9.954751e+002	9.954759e+002		2.949600e+002	7.540752e+002	7.540752e+002	7.540752e+002	7.540753e+002	7.540752e+002	7.540752e+002	7.540752e+002	7.540753e+002		
5.378600e+002	9.358974e+002	9.358974e+002	9.358975e+002	9.358987e+002	9.358974e+002	9.358987e+002		2.948600e+002	7.341805e+002	7.341805e+002	7.341805e+002	7.341805e+002	7.341805e+002	7.341805e+002	7.341805e+002	7.341805e+002		
5.377600e+002	9.328808e+002	9.328808e+002	9.328809e+002	9.328830e+002	9.328808e+002	9.328830e+002		2.947600e+002	7.322552e+002	7.322552e+002	7.322552e+002	7.322553e+002	7.322552e+002	7.322552e+002	7.322552e+002	7.322553e+002		
5.376600e+002	9.411765e+002	9.411765e+002	9.411766e+002	9.411800e+002	9.411765e+002	9.411801e+002		2.946600e+002	7.226287e+002	7.226287e+002	7.226287e+002	7.226289e+002	7.226287e+002	7.226287e+002	7.226287e+002	7.226289e+002		
5.375600e+002	9.321267e+002	9.321267e+002	9.321269e+002	9.321326e+002	9.321267e+002	9.321328e+002		2.945600e+002	7.130022e+002	7.130022e+002	7.130022e+002	7.130027e+002	7.130022e+002	7.130022e+002	7.130022e+002	7.130027e+002		
5.374600e+002	8.959276e+002	8.959276e+002	8.959279e+002	8.959374e+002	8.959276e+002	8.959377e+002		2.944600e+002	7.162110e+002	7.162110e+002	7.162110e+002	7.162119e+002	7.162110e+002	7.162110e+002	7.162110e+002	7.162119e+002		
5.373600e+002	8.838612e+002	8.838612e+002	8.838618e+002	8.838772e+002	8.838612e+002	8.838777e+002		2.943600e+002	7.482993e+002	7.482993e+002	7.482993e+002	7.483009e+002	7.482993e+002	7.482993e+002	7.482993e+002	7.483009e+002		
5.372600e+002	9.140271e+002	9.140271e+002	9.140281e+002	9.140530e+002	9.140271e+002	9.140539e+002		2.942600e+002	7.457323e+002	7.457323e+002	7.457323e+002	7.457351e+002	7.457323e+002	7.457323e+002	7.457323e+002	7.457351e+002		
5.371600e+002	8.793363e+002	8.793364e+002	8.793380e+002	8.793778e+002	8.793363e+002	8.793795e+002		2.941600e+002	6.956745e+002	6.956745e+002	6.956745e+002	6.956794e+002	6.956745e+002	6.956745e+002	6.956745e+002	6.956794e+002		
5.370600e+002	8.604827e+002	8.604827e+002	8.604856e+002	8.605485e+002	8.604827e+002	8.605514e+002		2.940600e+002	7.213451e+002	7.213451e+002	7.213451e+002	7.213537e+002	7.213451e+002	7.213451e+002	7.213451e+002	7.213537e+002		
5.369600e+002	8.657617e+002	8.657617e+002	8.657667e+002	8.658653e+002	8.657617e+002	8.658704e+002		2.939600e+002	7.393146e+002	7.393146e+002	7.393146e+002	7.393292e+002	7.393146e+002	7.393146e+002	7.393146e+002	7.393292e+002		
5.368600e+002	8.529412e+002	8.529412e+002	8.529498e+002	8.531027e+002	8.529412e+002	8.531113e+002		2.938600e+002	6.950327e+002	6.950327e+002	6.950327e+002	6.950574e+002	6.950327e+002	6.950327e+002	6.950327e+002	6.950574e+002		
5.367600e+002	8.348416e+002	8.348416e+002	8.348564e+002	8.350909e+002	8.348416e+002	8.351057e+002		2.937600e+002	7.245540e+002	7.245540e+002	7.245540e+002	7.245952e+002	7.245540e+002	7.245540e+002	7.245540e+002	7.245952e+002		
5.366600e+002	8.740573e+002	8.740573e+002	8.740821e+002	8.744388e+002	8.740573e+002	8.744637e+002		2.936600e+002	6.732127e+002	6.732127e+002	6.732127e+002	6.732804e+002	6.732127e+002	6.732127e+002	6.732127e+002	6.732804e+002		
5.365600e+002	8.853695e+002	8.853695e+002	8.854110e+002	8.859485e+002	8.853695e+002	8.859899e+002		2.935600e+002	7.251957e+002	7.251957e+002	7.251958e+002	7.253062e+002	7.251957e+002	7.251957e+002	7.251957e+002	7.253063e+002		
5.364600e+002	9.117647e+002	9.117647e+002	9.118333e+002	9.126348e+002	9.117647e+002	9.127034e+002		2.934600e+002	7.123604e+002	7.123604e+002	7.123605e+002	7.125378e+002	7.123604e+002	7.123604e+002	7.123604e+002	7.125378e+002		
5.363600e+002	8.914027e+002	8.914028e+002	8.915150e+002	8.926980e+002	8.914027e+002	8.928104e+002		2.933600e+002	6.834809e+002	6.834809e+002	6.834810e+002	6.837616e+002	6.834809e+002	6.834809e+002	6.834809e+002	6.837617e+002		
5.362600e+002	9.034691e+002	9.034692e+002	9.036512e+002	9.053792e+002	9.034691e+002	9.055614e+002		2.932600e+002	7.322552e+002	7.322552e+002	7.322554e+002	7.326955e+002	7.322552e+002	7.322552e+002	7.322552e+002	7.326957e+002		
5.361600e+002	8.891403e+002	8.891405e+002	8.894328e+002	8.919302e+002	8.891403e+002	8.922229e+002		2.931600e+002	7.091516e+002	7.091516e+002	7.091519e+002	7.098304e+002	7.091516e+002	7.091516e+002	7.091516e+002	7.098307e+002		
5.360600e+002	8.891403e+002	8.891406e+002	8.896057e+002	8.931769e+002	8.891403e+002	8.936427e+002		2.930600e+002	7.328969e+002	7.328969e+002	7.328976e+002	7.339340e+002	7.328969e+002	7.328969e+002	7.328969e+002	7.339346e+002		
5.359600e+002	9.291101e+002	9.291108e+002	9.298435e+002	9.348956e+002	9.291101e+002	9.356297e+002		2.929600e+002	7.335387e+002	7.335387e+002	7.335398e+002	7.351006e+002	7.335387e+002	7.335387e+002	7.335387e+002	7.351017e+002		
